,precision,recall,f1-score,support
A,0.75,0.75,0.75,4.0
B,1.0,0.0,0.0,2.0
C,0.5,0.75,0.6,4.0
D,0.5,0.3333333333333333,0.4,3.0
E,0.5,0.5,0.5,2.0
F,0.3333333333333333,0.5,0.4,2.0
G,0.5,0.25,0.3333333333333333,4.0
H,1.0,0.3333333333333333,0.5,3.0
I,1.0,0.3333333333333333,0.5,3.0
J,0.4,0.5,0.4444444444444445,4.0
K,0.0,0.0,0.0,3.0
L,1.0,0.75,0.8571428571428571,4.0
M,0.0,0.0,0.0,3.0
N,0.375,0.75,0.5,4.0
O,0.4,0.6666666666666666,0.5,3.0
P,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
Q,0.5,0.3333333333333333,0.4,3.0
R,0.6666666666666666,0.5,0.5714285714285715,4.0
S,1.0,0.6666666666666666,0.8,3.0
T,0.3333333333333333,0.5,0.4,2.0
U,0.6,1.0,0.7499999999999999,3.0
V,0.5,0.3333333333333333,0.4,3.0
W,0.25,0.3333333333333333,0.28571428571428575,3.0
X,0.25,0.5,0.3333333333333333,2.0
Y,0.3333333333333333,0.6666666666666666,0.4444444444444444,3.0
Z,0.0,0.0,0.0,3.0
accuracy,0.4625,0.4625,0.4625,0.4625
macro avg,0.5009615384615385,0.4455128205128205,0.4231990231990232,80.0
weighted avg,0.510625,0.4625,0.4429067460317461,80.0
