,precision,recall,f1-score,support
pi,0.8032786885245902,0.8909090909090909,0.8448275862068965,55.0
alpha,0.9274193548387096,0.92,0.9236947791164659,125.0
beta,0.5833333333333334,0.4666666666666667,0.5185185185185186,15.0
sigma,0.625,0.6666666666666666,0.6451612903225806,15.0
gamma,0.5416666666666666,0.52,0.5306122448979592,50.0
delta,0.6949152542372882,0.7454545454545455,0.7192982456140351,55.0
lambda,0.7777777777777778,0.4666666666666667,0.5833333333333334,15.0
omega,1.0,0.8666666666666667,0.9285714285714286,15.0
mu,0.82,0.82,0.82,50.0
xi,0.78125,0.8,0.7905138339920948,125.0
accuracy,0.7865384615384615,0.7865384615384615,0.7865384615384615,0.7865384615384615
macro avg,0.7554641075378367,0.7163030303030303,0.7304531260573313,520.0
weighted avg,0.7862679542437346,0.7865384615384615,0.7845526503746293,520.0
