,precision,recall,f1-score,support
A,0.4,0.5,0.4444444444444445,4.0
B,0.0,0.0,0.0,2.0
C,1.0,0.75,0.8571428571428571,4.0
D,0.5,0.6666666666666666,0.5714285714285715,3.0
E,0.5,0.5,0.5,2.0
F,0.5,0.5,0.5,2.0
G,1.0,0.5,0.6666666666666666,4.0
H,0.16666666666666666,0.3333333333333333,0.2222222222222222,3.0
I,1.0,1.0,1.0,3.0
J,0.6,0.75,0.6666666666666665,4.0
K,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
L,0.6,0.75,0.6666666666666665,4.0
M,1.0,0.3333333333333333,0.5,3.0
N,0.4,0.5,0.4444444444444445,4.0
O,0.5,1.0,0.6666666666666666,3.0
P,1.0,0.6666666666666666,0.8,3.0
Q,1.0,0.0,0.0,3.0
R,0.3333333333333333,0.25,0.28571428571428575,4.0
S,0.75,1.0,0.8571428571428571,3.0
T,0.5,0.5,0.5,2.0
U,1.0,0.6666666666666666,0.8,3.0
V,0.0,0.0,0.0,3.0
W,0.5,0.6666666666666666,0.5714285714285715,3.0
X,0.5,1.0,0.6666666666666666,2.0
Y,0.5,0.3333333333333333,0.4,3.0
Z,1.0,0.0,0.0,3.0
accuracy,0.525,0.525,0.525,0.525
macro avg,0.5993589743589743,0.5192307692307693,0.4969474969474969,80.0
weighted avg,0.6135416666666667,0.525,0.5078373015873016,80.0
