,precision,recall,f1-score,support
A,0.6,0.75,0.6666666666666665,4.0
B,1.0,1.0,1.0,2.0
C,1.0,0.75,0.8571428571428571,4.0
D,1.0,1.0,1.0,3.0
E,1.0,1.0,1.0,2.0
F,0.3333333333333333,0.5,0.4,2.0
G,1.0,0.75,0.8571428571428571,4.0
H,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
I,1.0,1.0,1.0,3.0
J,0.75,0.75,0.75,4.0
K,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
L,0.8,1.0,0.888888888888889,4.0
M,0.5,0.3333333333333333,0.4,3.0
N,1.0,1.0,1.0,4.0
O,1.0,1.0,1.0,3.0
P,0.75,1.0,0.8571428571428571,3.0
Q,0.75,1.0,0.8571428571428571,3.0
R,0.42857142857142855,0.75,0.5454545454545454,4.0
S,1.0,0.6666666666666666,0.8,3.0
T,0.0,0.0,0.0,2.0
U,1.0,1.0,1.0,3.0
V,1.0,1.0,1.0,3.0
W,1.0,1.0,1.0,3.0
X,1.0,0.5,0.6666666666666666,2.0
Y,1.0,1.0,1.0,3.0
Z,1.0,0.3333333333333333,0.5,3.0
accuracy,0.775,0.775,0.775,0.775
macro avg,0.7914835164835166,0.7596153846153845,0.7581890331890333,80.0
weighted avg,0.7997619047619048,0.775,0.7704671717171717,80.0
